text,stars,label,text_type,app,date,source
جيد,5,positive,pure_arabic,Careem,2026-03-14 12:47:39,google_play
طلبت سيارة واجت ولما قربنا نوصل الموقع وقف الكابتن على اليمين وقلي وصلت وانا محدد الموقع في الجهة الثانية من الطريق المفروض ياخذ يوتيرن وينزلني ولكن رفض عشان في ناس واقفين في الطريق وبدهم تكسي قدم شكوى ولكن للأسف مافي فائدة,1,negative,pure_arabic,Careem,2026-03-14 07:59:34,google_play
Good,5,positive,pure_english,Careem,2026-03-14 06:41:45,google_play
يحي المغيدي,5,positive,pure_arabic,Careem,2026-03-14 04:51:33,google_play
مشاء الله,5,positive,pure_arabic,Careem,2026-03-14 01:32:45,google_play
كنت حاجزه قبل كده ولكن لم يتم مجيء السواق في الميعاد المحدد ولم يتم الاتصال بي وكانت المواصله ب7 درهم وأصبحت كغرامه 13 درهم ودفعتهم بعدها حاولت اكتر من مره حجز عن طريق الابلكيشين لكن في كل مره يبعت تم الرفض,5,positive,pure_arabic,Careem,2026-03-13 22:03:57,google_play
تطبيق مفيد جدا للرحلات,5,positive,pure_arabic,Careem,2026-03-13 14:58:15,google_play
تطبيق ممتاز بس لو تنزلو خصومات للمستخدمين باستمرار,4,positive,pure_arabic,Careem,2026-03-13 01:15:15,google_play
للأسف أصبح تطبيق سيئ جدا وخدمة العملاء اسوء شيئ فيه من انحدار لأنحدار اسوء تطبيق موجود لطلب الطعام فاااااشل,1,negative,pure_arabic,Careem,2026-03-12 23:55:57,google_play
لا يتم أخذ الشكوى بعين الاعتبار ويتم الاعتماد على السائق حتى لو اخذ مبلغ اجره إضافي أكثر من اجره التطبيق وادخل إلى البرنامج مبلغ اخر وبعد تقديم شكوى قالوا أيمكن اعاده المبلغ الاضافي لايوجد مصداقيه,1,negative,pure_arabic,Careem,2026-03-12 17:25:11,google_play
تطبيق معقد ياليت يتم تبسيطه ليتمكن اي شخص باستعماله,1,negative,pure_arabic,Careem,2026-03-12 16:43:09,google_play
حقيقة تجربه رائعه ومحترمه من التطبيق مواعيد مضبوطه واسعار مناسبه ، شكرا لكم سؤال هل التخفيض على الأسعار 50% يشمل 5 مشاوير فقط ام التخفيض مستمر ، مع التقدير,5,positive,pure_arabic,Careem,2026-03-12 14:25:04,google_play
طبعاً اشكر شركة كريم على هذا التطبيق الرائع الذي جعلني اتنقل بسهولة ولكن توجد مشكلة واحدة وهيه انا لايوجد لي قائمة بالطعام يعني لااستطيع طلب الطعام لان لايوجد هذه الخاصية فقط مشاوير..,4,positive,pure_arabic,Careem,2026-03-12 07:44:57,google_play
👍,5,positive,other,Careem,2026-03-12 04:12:49,google_play
فاشل,1,negative,pure_arabic,Careem,2026-03-12 03:52:00,google_play
غالي ريالين كل دقيقه كثير!,1,negative,pure_arabic,Careem,2026-03-12 00:19:40,google_play
