text,likes,date,video_id,source
كله فوتوشوب,0,2026-02-08T20:45:53Z,qmma1d3DkHs,youtube
الله يعز ايران بس,0,2025-11-29T19:30:03Z,qmma1d3DkHs,youtube
انا من ايران ❤❤🇮🇷,0,2025-10-01T14:56:31Z,qmma1d3DkHs,youtube
الهم بارك ❤,1,2025-04-04T21:05:47Z,qmma1d3DkHs,youtube
صور شيوخ الإمارات ❤️,0,2025-03-29T23:30:37Z,qmma1d3DkHs,youtube
ناتان يا لا تبنارززتزتتاااالغلبلااالاا لا لزبلدلذذدرزتاغلبا,0,2024-11-29T14:06:33Z,qmma1d3DkHs,youtube
ه  لا ما يا مع لا مع ق قافتلااللتببدي,0,2024-11-29T14:06:14Z,qmma1d3DkHs,youtube
سييييييييييييييييييييييييييييييي,0,2024-11-29T14:05:34Z,qmma1d3DkHs,youtube
اني من إيران من احواز العربيه,1,2024-11-21T08:53:33Z,qmma1d3DkHs,youtube
الاكل اليماني طييب كتير,0,2024-11-20T13:15:39Z,qmma1d3DkHs,youtube
حبيت,0,2024-11-08T19:55:22Z,qmma1d3DkHs,youtube
اول حاجة. الطباخ لازم إغطي شعره كامل...,0,2024-11-07T19:45:36Z,qmma1d3DkHs,youtube
الاكل صارت مو أكل,0,2024-11-04T14:20:31Z,qmma1d3DkHs,youtube
الايرانيين مسيطرين هناك,0,2024-11-04T07:29:59Z,qmma1d3DkHs,youtube
فيه صورتي؟,2,2024-10-29T07:27:14Z,qmma1d3DkHs,youtube
شيخنا فزاع من محمد جا هاذا المطعم ✨🫡,0,2024-10-27T10:29:13Z,qmma1d3DkHs,youtube
انا معصب,1,2024-10-26T15:47:21Z,qmma1d3DkHs,youtube
إيراني ذي عدوتنا لأن في عام ٢٠٠٩ قصفت نفط 😡😡😡,5,2024-10-24T20:40:21Z,qmma1d3DkHs,youtube
من اليمن اكره ايران واحب السعودية 🫂🇾🇪🇸🇦,10,2024-10-24T08:31:53Z,qmma1d3DkHs,youtube
انا من ايران ❤ اكل كلنا بل عافيه ❤❤,4,2024-10-24T08:02:20Z,qmma1d3DkHs,youtube
عدد محبين فلسطين ❤❤,2,2024-10-23T20:23:57Z,qmma1d3DkHs,youtube
0:13,3,2024-10-23T18:25:25Z,qmma1d3DkHs,youtube
ما تكلمت على الأسعار ؟؟؟؟ كيف الأسعار تقريبا ؟؟,1,2024-10-23T05:24:01Z,qmma1d3DkHs,youtube
امام علي تاج على رأس,2,2024-10-22T18:49:38Z,qmma1d3DkHs,youtube
❤❤❤❤,2,2024-10-22T15:28:56Z,qmma1d3DkHs,youtube
تدعو التشيع؟,1,2024-10-22T15:09:45Z,qmma1d3DkHs,youtube
عدد الي صلو على النبي 🎀🥺,1,2024-10-22T14:45:12Z,qmma1d3DkHs,youtube
اخيرا ما صورت مع بنت😮,18,2024-10-22T13:00:06Z,qmma1d3DkHs,youtube
کفووووو متابعك من ایران🇮🇷🇮🇷🇮🇷🇮🇷❤,13,2024-10-22T12:44:07Z,qmma1d3DkHs,youtube
أللهم بارك,3,2024-10-22T12:36:25Z,qmma1d3DkHs,youtube
ايراني وفي الامارات وين المجوس وقرن الشيطان الذي بتقولوا ???!!!,0,2024-10-22T12:03:01Z,qmma1d3DkHs,youtube
اول,1,2024-10-22T11:56:25Z,qmma1d3DkHs,youtube
"الايران معفنة
من معي🇮🇶
👇",1,2024-10-22T11:43:32Z,qmma1d3DkHs,youtube
❤❤,0,2026-02-08T08:22:43Z,xKH8i87CT2Q,youtube
عيبها سعر الفنادق غالي,0,2026-01-03T09:14:24Z,xKH8i87CT2Q,youtube
