text,true_label,original_confidence,masked_confidence,delta
المشكله ان هذه المشكله، يا عزيزي، كانت موجوده في الEmojis.,neutral,0.9965,0.0002,0.9963
طيب في مره و انت في الجامعه student او في اي موقف كنت .. او في شغل int,neutral,0.9991,0.0002,0.9989
سريع سهل ممتاز [POS_EMOJI] [POS_EMOJI],positive,0.9917,0.9871,0.0046
رائع جدا [POS_EMOJI],positive,0.9928,0.9916,0.0012
من حسن حظ Izawati,positive,0.9941,0.0055,0.9886
طيب اخر سؤال ممكن تختاري اي حاجه انتي عايزاها و تقنعينا بيها، اي حاجه ,neutral,0.999,0.0002,0.9988
والله جميل جدااااااا جدااااا والمواعيد مظبوطه ولو حصل اي تاخير بسبب ال,positive,0.9988,0.6063,0.3924
تطبيق ممتاز و رائع للغايه [POS_EMOJI],positive,0.9947,0.9707,0.0241
الخوف من التشريح خلق Business جديد، خدمات لحفظ الجثث،,neutral,0.9938,0.0003,0.9936
بحب جدا الحاجات اللي فيها Psychology، بحب .. رغم ان انا في هندسه يعني،,neutral,0.9992,0.0002,0.999
يعني لو هو بيتكلم عربي بس، فمخي .. مثلا يعني مخي هيتكلم معاه عربي، بس ,neutral,0.9918,0.0002,0.9916
هو ال Demand-Pull Inflation,neutral,0.9957,0.9982,-0.0026
"زي اي Gaming Console، او ""جهاز العاب""،",neutral,0.8585,0.0002,0.8583
لا يستحق حتي نجمه تجربه سيئه للغايه المطعم ارسل الطلب ناقص اللحوم تقري,negative,0.9965,0.9431,0.0534
Okay طيب انت و انت في الجامعه كنت بتحب الشغل in teams و لا كنت بتحب تش,neutral,0.9989,0.0003,0.9986
اللي هو Thanos كان قرر ان هو عايز يقضي علي نص ال planet,neutral,0.8641,0.0002,0.8639
يتحول لذره معدن النحاس، من غير شحنه، Neutral.,neutral,0.9817,0.0002,0.9815
"وبيقول ان هو دا الجيل اللي ما اتلوثش، لانقاذ ""الصين"" من الFour Olds.",neutral,0.9988,0.0002,0.9986
عجيب [POS_EMOJI],positive,0.9918,0.9891,0.0027
quotes الصراحه مش فاكره,positive,0.9973,0.0061,0.9913
"ال4 غواصات دول كانوا بالفعل مستقرين تحت مياه Sargasso Sea، بحر ""سارجاس",positive,0.986,0.0347,0.9514
يمكن الSystem بتاعنا اللي فيه المشكله!,negative,0.9989,0.9961,0.0029
"هذه الاسطوره ليها حضور برضه في ""الصين""، في صوره Fountain Of Youth،",neutral,0.9979,0.0002,0.9977
"بحب ال English, بحب مثلا Adele, بحب Sia, بحب",positive,0.9994,0.0089,0.9904
رائع [POS_EMOJI],positive,0.9925,0.9891,0.0035
الاب الروحي للEmojis المنتشره في العالم كله.,neutral,0.9989,0.0002,0.9987
فهي غالبا BYD,neutral,0.8671,0.1884,0.6787
وبالتبعيه ال Deep Draft قليل,negative,0.9648,0.9944,-0.0296
مش عارفه اقولها ازاي بس reading can have you traveling to too many wor,positive,0.9145,0.0018,0.9127
مافيش اشاره برساله الطيار ياريت وده شيء سيئ جدا [NEG_EMOJI],negative,0.9954,0.9916,0.0039
"انه لو حاجه biodegradable البكتيريا بتاكلها, في حاجه بتاكل البكتيريا و",neutral,0.9991,0.0002,0.9989
