text,stars,label,text_type,app,date,source
دلوقتي تطبيق كريم فجأه وقف من علي الموبايل مسحته ونزلته تاني طلب مني الباس ورد أو آخر اربع أرقام من credit وانا مش فاكره الباس ورد ولا ربط حساب تطبيق ب credit,1,negative,code_switched,Careem,2026-02-05 18:12:47,google_play
من اسوء التجارب اللى مريت بها اى مشكله مع الكابتن أو الأجرة تتصل بخدمة العملاء مش موجوده اصلا ومحدش بيعبرك ولا يرد عليك وعشان تعرفوا انكم برنامج مش تمام عملتو replay على التقييم على أساس انكم بتهتموا وكده وبعتولى لينك ولعت الشكاوى 3مرات ومحدش برده يرد,1,negative,code_switched,Careem,2026-01-28 12:13:51,google_play
للحذر لانه اكيد نصب كدا مع ناس تانيه السواق اسمه abanoob Aziz عربيه رقم م س ي 5915 (Gray ByD F3) لتجنب وقوع أحد آخر تحت عملية النصب او اى حاجه خطر نصب عليا فى الاجره واتحجج انى مفيش باقى معاه وهيضيفه على المحفظه ولما كلمت خدمة العملاء قالوا انى المرجع ليهم اللى بيكتبه السواق أنه استلمه من العميل يعنى المرجع ليهم اصلا اللى بينصب وسمعت من سواقين لنفس الشركة انى فى ناس كتير حصل معاهم كدا بيقولوا ارجعوا للشركه لانى مفيش اي وسيله تواصل مع السواقين غيرهم والشركه مبتعملش حاجه بتغلط العميل .,1,negative,code_switched,Careem,2026-01-18 14:57:15,google_play
سيئ جدا التطبيق قام بتعطيل حسابي بسبب اني اضع عليه بطاقتين visa ويقول اني انتهك حقوق التطبيق واستفيد من الكودات بشكل غير شرعي,1,negative,code_switched,Careem,2026-01-15 01:11:18,google_play
التطبيق حجب حسابي ويضع علي دفعة والسبب أنني الغيت رحلة لم تتطابق فيها معلومات كابتن كريم عند وقوله كان كابتن آخر .. وفرضوا علي رسوم 4.48 ريال.. والآن أنا لا أستطيع طلب الرحلات على الرغم أني من فئات الـ vip ومازلت أحاول طلب الرحلات ولاتكتمل وعلى الرغم أني أراسلهم بهذا الأمر واطلب منهم رفع الرسوم الموضوعه افتراءا وزورا ،، مع الأسف أضطررت استخدام برنامج آخر للتوصيل وحسبنا الله ونعم الوكيل ..,1,negative,code_switched,Careem,2025-12-25 08:02:53,google_play
تطبيق لصوص في الفترة الاخيره تم سرقتي من قبل تطبيق كريم ورفعت مطالبة وتم الرد لا يمكن اعادة الاموال و طلبوا مني استعمل الفيزا للدفع و تم وتقاضى الكابتن الأجرة من اطفالي كاش من مصروفهم المدرسي اليومي علما أن الرحله فيزا ولو كان المبلغ الموجود فيها اقل بالعادة تقوم الشركة بتدوين رصيد سالب يتم تسديده بشكل مضمون من العملاء علما اني اعتبر Vip للاسف و مع ذلك تعنتوا بعدم رد حقي للمرة الثانية وهذا لا يشعرني بالامان على اطفالي حيث أنهم كما اتضح لي لا يملكون السيطرة على كباتنهم.. لذلك قمت بإلغاء اشتراكي.,1,negative,code_switched,Careem,2025-12-20 23:25:13,google_play
تعرضت لتعامل سئ من هذا الكائن Ammar Alosaimi وتم إلغاء الرحلة وسحب قيمة المشوار وتم الاتصال بخدمة العملاء وتم رد المبلغ هذا لا يصلح للتعامل مع اى انسان يجب اتخاذ الإجراءات القانونية تجاه هذا الكائن رقم اللوحه ر ى و 3832,1,negative,code_switched,Careem,2025-12-18 21:30:43,google_play
تطبيق زبالة ونصابين علشان لاحد يطيح بالمقالب اللي طحت فيها ابعدو كل البعد عن الـ Rides تبع الدراجات والسكوتر,5,positive,code_switched,Careem,2025-12-10 00:46:02,google_play
أحدث وأفضل وأسرع 📋 thank you M/careem👋,5,positive,code_switched,Careem,2025-11-26 00:37:08,google_play
كان التطبيق flexible لكن هلا مقيد من جميع الحركات ما بقدر اختار الطريق ولا اوقف بمكان على الطريق بصراحة مزعج جدا.,1,negative,code_switched,Careem,2025-11-18 16:58:58,google_play
فئة العربيات بتبقي مختلفه لما اطلب comfort الكابتن بيوصل بي عربيه موديل قديم مختلف عن اللي موجوده في التطبيق!؟,1,negative,code_switched,Careem,2025-10-24 22:42:40,google_play
اسوء customer servics ممكنة ويطون غرامات غبية دائما تطور هس الوضع وكاصين من الكارت فلوس بدون تفسير وميردون,1,negative,code_switched,Careem,2026-02-23 18:51:10,google_play
No one solved my problem unprofessional captains . Customer service too very bad updated on 6/2/2026 بتشغلوا ناس مش قد المسؤولية ضيع وقتي و مجاليش في المكان الصح و كان قاصد يتجاهل مكلماتي و لو رد بيعمل نفسه مش سامع !!!! و الشركة المحترمة رجعتلي فلوس الغرامة ناقصة و باعتين أن الفلوس وصلت كاملة يعني كمان كدابين .... شركة كريم انتوا بتشغلوا ناس دون المستوى .,1,negative,code_switched,Careem,2026-02-05 00:25:32,google_play
"شركة حرمية ونصابين ..... عن جد الواحد بخجل فيكم Since the merge with Uber, you guys are becoming even worse than ever.... Captains are now complaining about visa rides, cars are different from the description in the app... and more... Careem supposed to be a safe option for girls well, not anymore. I think it is time to use illegal apps since there is no difference now. at least I will be paying less instead of paying money for service I'm not receiving...",1,negative,code_switched,Careem,2026-01-12 02:36:38,google_play
"this is a delivery app not a football app , this notification is not welcome on my phone ""النعيمات والتعمري عقابك يا ميسّي 🇯🇴 بالتوفيق للنشامى.. كلنا معكم 💪🏼",1,negative,code_switched,Careem,2025-12-06 00:11:44,google_play
The app is not working in Saudi البرنامج لا يعمل في السعودية,1,negative,code_switched,Careem,2025-12-02 14:23:24,google_play
تحفة و ال service ل مطعم كانسس كويسة جدا و أستاذ شريف مدير المطعم متعاون جدا,5,positive,code_switched,Talabat,2026-03-04 22:03:55,google_play
it's beautiful yes احسن تطبيق اكل انا بحبه في حياتي,5,positive,code_switched,Talabat,2026-03-02 02:38:11,google_play
It became very bad أصبح سئ جدا,1,negative,code_switched,Talabat,2026-03-01 00:26:51,google_play
التطبيق فاشل حاطين خصم talabat15k وما يشتغل عندي بأي حساب اسويه,1,negative,code_switched,Talabat,2026-02-24 23:43:27,google_play
"My last experience was disastrous, the order didn't arrive and the customer service agent blamed me for the mistake even though I contacted the driver several times and he didn't respond to me. Worst customer Service! طلبات لا توصل الطلبات",1,negative,code_switched,Talabat,2026-03-13 19:02:46,google_play
تجربة سيئة جدًا. 2 من آخر 3 طلبات وصلت بأصناف خاطئة. وفي الطلب الأخير تم تغيير طريقة الدفع إلى كاش تلقائيًا رغم وجود بطاقات دفع محفوظة، ولم يسمح التطبيق بإلغاء الطلب. كعميل مشترك في Talabat Pro، هذا المستوى من الخدمة غير مقبول. وقررت وقف التعامل والغاء حسابى على التطبيق,1,negative,code_switched,Talabat,2026-03-09 03:43:39,google_play
ليه feature ال schedule اتشالت ؟ دي كانت اهم حاجه فرمضان,1,negative,code_switched,Talabat,2026-03-08 15:14:31,google_play
خدمة العملاء معرفتش اوصلها ولما عملت مساعدة على الابلكيشن لان الاوردر وصل ناقص! .. لم يكن هناك اتصال او رد للفلوس واتكتبلي we are sorry for bad experience !!!!,1,negative,code_switched,Talabat,2026-03-07 17:12:38,google_play
